GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice14,com.mediacity.model,Member,14,19,0,0,7,8,4,4,4,4
exercice14,com.mediacity.model,Loan,7,52,1,1,2,22,3,14,2,14
exercice14,com.mediacity.model,ReservationStatus,0,21,0,0,0,4,0,1,0,1
exercice14,com.mediacity.model,Reservation,0,38,0,0,0,17,0,11,0,11
exercice14,com.mediacity.model,Work,14,12,0,0,7,5,4,2,4,2
exercice14,com.mediacity.repository,InMemoryWorkRepository,4,24,0,0,2,5,1,3,1,3
exercice14,com.mediacity.repository,InMemorySeriousDelayRepository,42,8,0,0,7,2,4,1,4,1
exercice14,com.mediacity.repository,InMemoryLoanRepository,16,59,2,4,4,11,4,6,2,5
exercice14,com.mediacity.repository,InMemoryReservationRepository,16,65,1,3,4,13,3,7,2,6
exercice14,com.mediacity.repository,InMemoryMemberRepository,4,24,0,0,2,5,1,3,1,3
exercice14,com.mediacity.exception,MemberNotFoundException,5,0,0,0,2,0,1,0,1,0
exercice14,com.mediacity.exception,WorkAvailableException,0,5,0,0,0,2,0,1,0,1
exercice14,com.mediacity.exception,LoanAlreadyReturnedException,5,0,0,0,2,0,1,0,1,0
exercice14,com.mediacity.exception,WorkNotFoundException,5,0,0,0,2,0,1,0,1,0
exercice14,com.mediacity.exception,WorkUnavailableException,0,5,0,0,0,2,0,1,0,1
exercice14,com.mediacity.exception,LoanNotFoundException,5,0,0,0,2,0,1,0,1,0
exercice14,com.mediacity.exception,MemberSuspendedException,0,5,0,0,0,2,0,1,0,1
exercice14,com.mediacity.service,LibraryRules,0,41,0,6,0,9,0,6,0,3
exercice14,com.mediacity.service,LoanService,26,152,1,9,1,38,5,7,4,3
exercice14,com.mediacity.service,LibraryContext,19,74,0,0,7,15,2,7,2,7
exercice14,com.mediacity.service,ReservationService,10,99,1,5,0,27,3,6,2,4
